,company,station,pollutant,year,month,emission,availability
160,"NALCO Ltd.,Smelter Plant",CEMS-9,PM,2016,1,21117,0.4730510752688172
161,"NALCO Ltd.,Smelter Plant",FTP-6,PM,2016,1,14314,0.32065412186379927
162,"NALCO Ltd.,Smelter Plant",GTC-7,PM,2016,1,14834,0.33230286738351256
163,"NALCO Ltd.,Smelter Plant",GTC-8,PM,2016,1,23024,0.5157706093189964
164,NTPC Limited (TSTPS),Unit1,PM,2016,1,23786,0.5328405017921147
165,NTPC Limited (TSTPS),Unit2,PM,2016,1,25049,0.5611335125448028
166,NTPC Limited (TSTPS),Unit3,PM,2016,1,26066,0.583915770609319
167,NTPC Limited (TSTPS),Unit4,PM,2016,1,24719,0.5537410394265233
168,NTPC Limited (TSTPS),Unit5,PM,2016,1,24656,0.5523297491039426
169,NTPC Limited (TSTPS),Unit6,PM,2016,1,25923,0.5807123655913978
170,NTPC Limited (TTPS),CEMS-2,PM,2016,1,24989,0.5597894265232974
171,NTPC Limited (TTPS),CEMS-3,PM,2016,1,25218,0.5649193548387097
172,NTPC Limited (TTPS),CEMS-4,PM,2016,1,23065,0.5166890681003584
173,NTPC Limited (TTPS),CEMS-5,PM,2016,1,22304,0.4996415770609319
174,NTPC Limited (TTPS),CEMS-6,PM,2016,1,22362,0.5009408602150538
175,NTPC Limited (TTPS),UNIT-1,PM,2016,1,26029,0.583086917562724
176,NTPC-SAIL Power Company Private Limited,Unit-1,PM,2016,1,10676,0.23915770609318995
177,NTPC-SAIL Power Company Private Limited,Unit-2,PM,2016,1,10576,0.23691756272401435
178,Nava Bharat Ventures Ltd,st2,PM,2016,1,21972,0.4922043010752688
179,Neelachal Ispat Nigam Limited,CEMS-1,PM,2016,1,29499,0.6608198924731182
180,"OCL India Ltd,Cement Unit",Stack-1,PM,2016,1,6324,0.14166666666666666
181,"OCL India Ltd,Cement Unit",Stack-10,PM,2016,1,3985,0.08926971326164874
182,"OCL India Ltd,Cement Unit",Stack-2,PM,2016,1,4053,0.09079301075268817
183,"OCL India Ltd,Cement Unit",Stack-3,PM,2016,1,6393,0.14321236559139786
184,"OCL India Ltd,Cement Unit",Stack-4,PM,2016,1,5209,0.11668906810035842
185,"OCL India Ltd,Cement Unit",Stack-5,PM,2016,1,5953,0.13335573476702509
186,"OCL India Ltd,Cement Unit",Stack-6,PM,2016,1,4489,0.10056003584229391
187,"OCL India Ltd,Cement Unit",Stack-7,PM,2016,1,4203,0.09415322580645161
188,"OCL India Ltd,Cement Unit",Stack-8,PM,2016,1,4154,0.09305555555555556
189,"OCL India Ltd,Cement Unit",Stack-9,PM,2016,1,4174,0.09350358422939069
190,OCL Iron and Steel Limited,CEMS-1,PM,2016,1,8482,0.19000896057347672
191,OCL Iron and Steel Limited,CEMS-2,PM,2016,1,8834,0.1978942652329749
192,OCL Iron and Steel Limited,CEMS-3,PM,2016,1,6336,0.14193548387096774
193,Odisha Power Generation Corporation LTD,CEMS-2,PM,2016,1,5431,0.12166218637992832
194,Odisha Power Generation Corporation LTD,st1,PM,2016,1,11449,0.2564740143369176
195,Patnaik Minerals Pvt. Ltd.,CEMS-1,PM,2016,1,11006,0.24655017921146954
196,Patnaik Minerals Pvt. Ltd.,CEMS-2,PM,2016,1,16271,0.3644937275985663
197,Patnaik Steels and Alloys Ltd.,CEMS-1,PM,2016,1,21214,0.4752240143369176
198,Pawanjay Sponge Iron Limited,CEMS-1,PM,2016,1,998,0.02235663082437276
199,Penguine Trading and Agencies Ltd(Seven Star),CEMS-1,PM,2016,1,9353,0.2095206093189964
200,Prabhu Sponge(p) Limited,CEMS-1,PM,2016,1,4087,0.09155465949820789
201,Rourkela Steel Plant,CEMS-1,PM,2016,1,5567,0.12470878136200717
202,Rourkela Steel Plant,CEMS-10,PM,2016,1,9024,0.2021505376344086
203,Rourkela Steel Plant,CEMS-12,PM,2016,1,2738,0.061335125448028674
204,Rourkela Steel Plant,CEMS-13,PM,2016,1,8805,0.19724462365591397
205,Rourkela Steel Plant,CEMS-14,PM,2016,1,9894,0.22163978494623657
206,Rourkela Steel Plant,CEMS-15,PM,2016,1,31,0.0006944444444444445
